RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,household_children,weight,gender,age,city,household_size,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7
50,03/04/2020 11:02,week 1,3,3,5,"Yes, and I tested negative","Yes, and they tested negative",Yes,Yes,Yes,No,No,No,Yes,Always,Yes,Yes,Yes,Very easy,Very willing,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,8,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,__NA__,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,1,0.962488603,Female,36,Shanghai,4,Yes,No,No,No,No,No,No
51,03/04/2020 11:05,week 1,2,1,0,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Rarely,No,No,No,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Rarely,Sometimes,Sometimes,Frequently,6,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.902442929,Male,30,Beijing,3,Yes,No,No,No,No,No,No
52,03/04/2020 11:06,week 1,0,0,0,"No, I have not","No, they have not", , , , , , , , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Frequently,Always,Frequently,Always,Always,Frequently,Always,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Always,100,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.902442929,Male,32,Beijing,4,Yes,No,No,No,No,No,No
53,03/04/2020 11:08,week 1,2,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Sometimes,Frequently,Always,Not at all,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Frequently,Frequently,6,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.976602113,Male,43,Baoding,3,Yes,No,No,No,No,No,No
54,03/04/2020 11:10,week 1,2,50,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Not at all,Always,Not at all, ,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Rarely,Always,Not at all,Frequently,Frequently,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.883510754,Female,27,Beijing,3,No,No,Yes,No,No,No,No
55,03/04/2020 11:10,week 1,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Sometimes,Frequently,Not at all,Sometimes,Always,Not at all,Sometimes, , ,Sometimes,Always,Always,Always,Sometimes,Always,Always,Not at all,Frequently,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.008928996,Male,22,Guangzhou,4,No,No,Yes,No,No,No,No
56,03/04/2020 11:11,week 1,5,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Sometimes,Always,Always,Always,Always,Always,Always, ,Always,Rarely,Frequently,Always,Always,Always,Always,Rarely,Not at all,Sometimes,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.055401329,Female,20,Chaozhou,6,No,No,Yes,No,No,No,No
57,03/04/2020 11:11,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.036516812,Female,21,Ningbo,3,No,No,Yes,No,No,No,No
58,03/04/2020 11:11,week 1,1,0,2,"Yes, and I have not received my results from the test yet","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Very willing,Always,Always,Rarely,Always,Not at all,Always,Frequently,Not at all, ,Always,Always,Not at all,Not at all,Not at all,Always,Always,Not at all,Always,Not at all,Not at all,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.055401329,Female,20,Zhaoqing,Prefer not to say,No,No,Yes,No,No,No,No
59,03/04/2020 11:11,week 1,2,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Rarely,Sometimes,Always,Always,Always,Always,Always, , ,Always,Rarely,Rarely,Not at all,Always,Always,Always,Rarely,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.877187523,Female,21,Sanmenxia,3,No,No,Yes,No,No,No,No
60,03/04/2020 11:12,week 1,2,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Sometimes,Always,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Always,Frequently,6,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,1,1.09537593,Male,38,Nanjing,5,Yes,No,No,No,No,No,No
61,03/04/2020 11:12,week 1,20,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Sometimes,Frequently,Always,Always,Frequently,Always,Sometimes, , ,Frequently,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.993989048,Female,24,Zhenjiang,8 or more,No,No,Yes,No,No,No,No
62,03/04/2020 11:12,week 1,1,5,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Not at all,Rarely,Sometimes,Not at all,Rarely,Sometimes,Rarely,Rarely, ,Sometimes,Rarely,Frequently,Always,Sometimes,Rarely,Always,Not at all,Rarely,Rarely,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.877187523,Female,21,Shaoyang,5,No,Yes,Yes,No,No,No,No
63,03/04/2020 11:12,week 1,2,18,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Frequently,Sometimes,Always,Rarely, , ,Sometimes,Sometimes,Always,Sometimes,Frequently,Rarely,Always,Not at all,Rarely,Sometimes,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.993989048,Female,22,Jiaxing,3,No,No,Yes,No,No,No,No
64,03/04/2020 11:13,week 1,2,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Always,Not at all,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Always,Not at all,Frequently,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.98776287,Female,20,Guangzhou,4,No,No,Yes,No,No,No,No
65,03/04/2020 11:13,week 1,8,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Sometimes,Always,Always,Not at all,Rarely,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Sometimes,Always,Rarely,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.877187523,Female,22,Xuchang,5,No,Yes,Yes,No,No,No,No
66,03/04/2020 11:13,week 1,4,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Frequently,Always,Always,Always,Sometimes,Always,Always, , ,Always,Sometimes,Always,Always,Frequently,Frequently,Always,Not at all,Rarely,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.963663852,Female,20,Changchun,5,No,No,Yes,No,No,No,No
67,03/04/2020 11:13,week 1,5,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,0.964726878,Male,25,Kunming,Prefer not to say,No,No,No,No,Yes,No,No
68,03/04/2020 11:13,week 1,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Neither willing nor unwilling,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Frequently, ,Always,Frequently,Always,Always,Always,Frequently,Sometimes,Not at all,Sometimes,Always,6,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.934318835,Male,23,Wuhan,3,Yes,No,No,No,No,No,No
69,03/04/2020 11:13,week 1,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat unwilling,Always,Sometimes,Not at all,Always,Rarely,Rarely,Rarely,Rarely, , ,Rarely,Not at all,Not at all,Not at all,Always,Rarely,Always,Not at all,Always,Sometimes,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.877187523,Female,20,Kaifeng,4,No,No,Yes,No,No,No,No
70,03/04/2020 11:13,week 1,4,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Sometimes,Rarely,Always,Always,Frequently,Always,Frequently,Rarely,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Rarely,Not at all,Rarely,Frequently,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,1,0.9444053,Male,23,Guiyang,4,Yes,No,No,No,No,No,No
71,03/04/2020 11:13,week 1,3,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Always,Not at all, ,Sometimes,Always,Always,Always,Always,Frequently,Always,Rarely,Rarely,Always,20,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,0.914717941,Female,21,Changsha,Prefer not to say,Yes,No,No,No,No,No,No
72,03/04/2020 11:14,week 1,3,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.954423373,Male,30,Hefei,6,Yes,No,No,No,No,No,No
73,03/04/2020 11:14,week 1,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Sometimes,Rarely,Always,Always,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.905656824,Male,22,Jiuquan,4,No,No,Yes,No,No,No,No
74,03/04/2020 11:15,week 1,2,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Rarely, ,Frequently,Always,Always,Always,Always,Frequently,Not at all,Rarely,Sometimes,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,???,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.036516812,Female,24,Hangzhou,3,Yes,No,No,No,No,No,No
75,03/04/2020 11:16,week 1,2,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always, ,Always,Always,Frequently,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.015377561,Female,26,Changzhou,3,Yes,No,No,No,No,No,No
76,03/04/2020 11:16,week 1,8,15,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Sometimes,Always,Sometimes,Always,Always,Always,Always,Always, ,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Rarely,Rarely,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.98776287,Female,22,Guangzhou,8 or more,No,No,Yes,No,No,No,No
77,03/04/2020 11:16,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.886657226,Female,24,Yinchuan,3,No,No,Yes,No,No,No,No
78,03/04/2020 11:16,week 1,6,100,3,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Frequently,No,No,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Frequently,Sometimes,Always,Frequently,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Sometimes,Frequently,Frequently,Frequently,7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.886657226,Female,24,Wulanchabu,3,Yes,Yes,No,No,No,No,No
79,03/04/2020 11:17,week 1,4,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Always,Always,Always,Always,Always,Sometimes,Always,Frequently,Not at all,Always,Sometimes,Sometimes,Not at all,Not at all,Always,Rarely,Not at all,Not at all,Frequently,Always,4,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.015377561,Female,31,Suzhou -  Jiangsu,3,Yes,No,No,No,No,No,No
80,03/04/2020 11:18,week 1,4,55,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Always,Sometimes,Frequently,Frequently,Not at all,Sometimes,Sometimes,Frequently,Rarely,Always,Always,Sometimes,Rarely,Not at all,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Rarely,2,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.115332813,Male,36,Zhaoqing,5,Yes,No,No,No,No,No,No
81,03/04/2020 11:18,week 1,2,4,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Sometimes,Always,Frequently,Frequently,Frequently,Always,Rarely,Always,Rarely,Frequently,Frequently,Always,Always,Frequently,Not at all,Not at all,Rarely,Frequently,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.950304142,Female,31,Shanghai,3,Yes,No,No,No,No,No,No
82,03/04/2020 11:18,week 1,3,0,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Rarely,Sometimes,Sometimes,Always,Always,Always,Frequently, ,Always,Frequently,Always,Always,Always,Always,Frequently,Sometimes,Rarely,Sometimes,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.008928996,Male,22,Guangzhou,4,No,No,Yes,No,No,No,No
83,03/04/2020 11:04,week 1,2,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Neither willing nor unwilling,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Rarely,Not at all,Sometimes,Rarely,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,1.050433205,Male,35,Suzhou -  Jiangsu,6,Yes,No,No,No,No,No,No
84,03/04/2020 11:01,week 1,0,30,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Always,Sometimes,Not at all,Always,Frequently,Always,Frequently, ,Always,Sometimes,Frequently,Always,Always,Sometimes,Always,Frequently,Always,Rarely,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,???,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.01528859,Male,22,Wuxi,3,Yes,No,No,No,No,No,No
85,03/04/2020 11:18,week 1,3,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Always,Frequently,Always,Always,Always,Always,Sometimes,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,3,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.073581858,Female,48,Shanghai,4,Yes,No,No,No,No,No,No
86,03/04/2020 11:18,week 1,4,6,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Always,Sometimes,Always,Frequently,Sometimes,Always,Always,Always,Sometimes,Rarely,Rarely,Frequently,Frequently,4,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.983113143,Male,40,Shanghai,4,Yes,No,No,No,No,No,No
87,03/04/2020 11:19,week 1,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.963663852,Female,22,Qingdao,3,No,No,Yes,No,No,No,No
88,03/04/2020 11:20,week 1,6,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Sometimes,Not at all,Always,Always,Sometimes,Always,Not at all, , ,Rarely,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Not at all,Sometimes,Sometimes,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.930286373,Female,19,Shanghai,7,No,No,Yes,Yes,No,No,No
89,03/04/2020 11:20,week 1,2,8,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Always,Sometimes,Sometimes,Frequently,Always,Sometimes,Sometimes,Sometimes,Frequently,Always,Always,Rarely,Rarely,Frequently,Frequently,Rarely,Not at all,Sometimes,Sometimes,Frequently,2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,??,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.100556615,Female,23,Xiamen,3,Yes,No,No,No,No,No,No
90,03/04/2020 11:20,week 1,2,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.984313576,Male,20,Haerbin,3,No,No,Yes,No,No,No,No
91,03/04/2020 11:21,week 1,2,13,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Frequently,Always,Always,Always,Always,Not at all,Sometimes,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.993989048,Female,24,Changzhou,3,No,No,Yes,No,No,No,No
92,03/04/2020 11:22,week 1,2,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Rarely, , ,Rarely,Not at all,Rarely,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.993989048,Female,21,Suzhou -  Jiangsu,3,No,No,Yes,No,No,No,No
93,03/04/2020 11:22,week 1,10,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Always,Always,Frequently,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Frequently,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.914717941,Female,24,Wuhan,3,Yes,No,No,No,No,No,No
94,03/04/2020 11:22,week 1,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very difficult,Somewhat unwilling,Always,Always,Always,Sometimes,Always,Always,Frequently,Always,Rarely,Always,Always,Always,Always,Always,Always,Always,Sometimes,Rarely,Always,Always,4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,???,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1,0.954423373,Male,30,Wuhan,3,Yes,No,No,No,No,No,No
95,03/04/2020 11:22,week 1,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently, ,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.02323235,Female,51,Jiayuguan,3,Yes,No,No,No,No,No,No
96,03/04/2020 11:23,week 1,3,100,6,"Yes, and I tested positive","Yes, and they tested positive",Yes,No,No,Yes,Yes,No,Yes,Always,Yes,Yes,Yes,Very easy,Somewhat willing,Rarely,Not at all,Sometimes,Not at all,Sometimes,Frequently,Always,Always,Frequently,Not at all,Rarely,Frequently,Rarely,Rarely,Always,Always,Frequently,Rarely,Rarely,Rarely,10,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,1,1.043853471,Male,35,Guangzhou,3,Yes,No,No,No,No,No,No
97,03/04/2020 11:24,week 1,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Sometimes,Rarely,Always,Always,Frequently,Always,Sometimes, ,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Rarely,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.914717941,Female,21,Nanchang,5,No,No,Yes,No,No,No,No
98,03/04/2020 11:22,week 1,5,2,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Not at all,Rarely,Always,Not at all,Always,Not at all,Frequently,Frequently,Always,Always,Sometimes,Sometimes,Rarely,Sometimes,Always,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.937006493,Male,41,Xianyang,6,Yes,No,No,No,No,No,No
